name,SALE,price(Rub),available_sizes(EU),img,link
Air Jordan 1 Retro Low Travis Scott Black Phantom Kids,NO,36900,"22, 23.5, 25, 27, 29.5, 31, 32",https://kicksmania.ru/wp-content/uploads/2023/12/tsphkidsmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-low-travis-scott-black-phantom-kids/
Air Jordan 4 Retro Craft Medium Olive,NO,47900,"38, 38.5, 39, 40, 40.5, 41, 42, 45, 45.5, 46, 47, 47.5",https://kicksmania.ru/wp-content/uploads/2023/12/4olivemain1-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-craft-medium-olive/
Air Jordan 4 Retro Military Black Kids,NO,27900,27,https://kicksmania.ru/wp-content/uploads/2023/12/4mbmain-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-military-black-kids/
Air Jordan 4 Retro SB Pine Green,NO,64900 - 142900,"40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45.5, 46, 47.5",https://kicksmania.ru/wp-content/uploads/2023/11/pinegmain-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-sb-pine-green/
Air Jordan 4 Retro University Blue Kids,NO,34900,"31, 32",https://kicksmania.ru/wp-content/uploads/2023/12/4rubmain-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-university-blue-kids/
Air Jordan 6 Retro UNC White Kids,NO,24900,25,https://kicksmania.ru/wp-content/uploads/2023/12/6uncmain-730x438.png,https://kicksmania.ru/product/air-jordan-6-retro-unc-white-kids/
Nike Air Max 1 Travis Scott Cactus Jack Brown Kids,NO,32900,22,https://kicksmania.ru/wp-content/uploads/2023/12/ccjackkidsmain-730x438.png,https://kicksmania.ru/product/nike-air-max-1-travis-scott-cactus-jack-brown-kids/
Nike Dunk High Retro White Vast Grey Kids,NO,29900,28,https://kicksmania.ru/wp-content/uploads/2023/12/ndrmain-730x438.png,https://kicksmania.ru/product/nike-dunk-high-retro-white-vast-grey-kids/
Nike Dunk Low NBA 75th Anniversary Brooklyn Nets Kids,NO,32900,"25, 27",https://kicksmania.ru/wp-content/uploads/2023/12/nbadunkmain-730x438.png,https://kicksmania.ru/product/nike-dunk-low-nba-75th-anniversary-brooklyn-nets-kids/
Nike Dunk Low Retro White Black Panda Kids,NO,24900,"17, 18.5, 19.5, 21, 22, 23.5, 25, 26, 27, 27.5, 28, 28.5, 29.5, 30, 31, 31.5, 32, 33, 33.5, 34, 35",https://kicksmania.ru/wp-content/uploads/2023/12/bpkmain-730x438.png,https://kicksmania.ru/product/nike-dunk-low-retro-white-black-panda-kids/
Nike Dunk Low Two-Toned Grey Kids,NO,32900,"26, 27",https://kicksmania.ru/wp-content/uploads/2023/12/ttgmain-730x438.png,https://kicksmania.ru/product/nike-dunk-low-two-toned-grey-kids/
Onitsuka Tiger Mexico 66 Slip-on,NO,19900,"38, 40.5, 42",https://kicksmania.ru/wp-content/uploads/2023/11/otsomain-730x438.png,https://kicksmania.ru/product/onitsuka-tiger-mexico-66-slip-on/
Onitsuka Tiger Mexico 66 VIN 3 Colors,NO,22900,44,https://kicksmania.ru/wp-content/uploads/2023/11/otvinmain-730x438.png,https://kicksmania.ru/product/onitsuka-tiger-mexico-66-vin-3-colors/
Onitsuka Tiger Mexico 66 Yellow Black,NO,24900,"40, 42.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/ot66main-730x438.png,https://kicksmania.ru/product/onitsuka-tiger-mexico-66-yellow-black/
Union X BBS X Air Jordan 1 High OG “Summer ’96”,NO,59900,43,https://kicksmania.ru/wp-content/uploads/2023/09/mainbbs-730x438.png,https://kicksmania.ru/product/union-x-bbs-x-air-jordan-1-high-og-summer-96/
Yeezy Slide Enflame Orange Kids,NO,42900,27,https://kicksmania.ru/wp-content/uploads/2023/12/slidekidsomain-730x438.png,https://kicksmania.ru/product/yeezy-slide-enflame-orange-kids/
Air Jordan 1 Low Sashiko Multi-Color,NO,27900,"37.5, 38, 38.5, 39",https://kicksmania.ru/wp-content/uploads/2023/11/sashmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-low-sashiko-multi-color/
Air Jordan 1 Mid Chenille Bleached Turquoise,NO,28900,"38, 39",https://kicksmania.ru/wp-content/uploads/2023/11/midaquamain-730x438.png,https://kicksmania.ru/product/air-jordan-1-mid-chenille-bleached-turquoise/
Air Jordan 1 Mid Sky J Light Purple Chenille,NO,29900,"36.5, 37.5, 38, 38.5",https://kicksmania.ru/wp-content/uploads/2023/11/jordanpurplemain-730x438.png,https://kicksmania.ru/product/air-jordan-1-mid-sky-j-light-purple-chenille/
Air Jordan 1 MM High Galactic Jade,NO,32900,"37.5, 38, 38.5",https://kicksmania.ru/wp-content/uploads/2023/11/jordanjademain-730x438.png,https://kicksmania.ru/product/air-jordan-1-mm-high-galactic-jade/
Air Jordan 1 Retro High Washed Pink,NO,34900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2023/04/pink-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-washed-pink/
Air Jordan 1 Zoom CMFT 2 UNC,NO,29900,"37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2023/11/cmftmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-zoom-cmft-2-unc/
Air Jordan 1 Retro High OG Satin Bred 2023,NO,37900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2023/11/bred23main-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-og-satin-bred-2023/
Air Jordan 4 Retro Starfish,NO,28900,"35.5, 36, 36.5, 37.5, 38, 39, 40",https://kicksmania.ru/wp-content/uploads/2023/10/4main-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-starfish/
A Ma Maniére x Air Jordan 4 Violet Ore,NO,88900 - 95900,"42.5, 44, 45.5",https://kicksmania.ru/wp-content/uploads/2022/12/a-ma-maniere-x-air-jordan-4-violet-ore-768x461.jpg,https://kicksmania.ru/product/a-ma-maniere-x-air-jordan-4-violet-ore/
Air Jordan 1 Retro High Lost and Found,NO,62900 - 71900,"38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 45",https://kicksmania.ru/wp-content/uploads/2022/11/jordan-1-retro-high-lost-and-found-768x461.jpg,https://kicksmania.ru/product/jordan-1-retro-high-lost-and-found/
Air Jordan 1 Retro High Stealth,NO,32900 - 48900,"40.5, 44.5, 47.5",https://kicksmania.ru/wp-content/uploads/2022/11/jordan-1-retro-high-og-stealth-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-stealth/
Concepts X Dunk SB Orange Lobster,NO,83900 - 96900,"37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2022/12/concepts-x-nike-sb-dunk-low-orange-lobster-730x438.jpg,https://kicksmania.ru/product/concepts-x-dunk-sb-orange-lobster/
Jacquemus x Nike Air Humara Pink Flash,NO,44900 - 59900,"36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41",https://kicksmania.ru/wp-content/uploads/2022/12/jacquemus-nike-air-humara-lx-22pink-flash22-730x438.jpg,https://kicksmania.ru/product/jacquemus-x-nike-air-humara-pink-flash/
Nike Air Force 1 Low Valentine’s Day,NO,30900 - 32900,"36, 37.5",https://kicksmania.ru/wp-content/uploads/2023/03/vd-main-730x438.jpg,https://kicksmania.ru/product/nike-air-force-1-low-valentines-day-2023/
Air Jordan 1 Retro High Starfish,NO,32900 - 37900,"36.5, 38, 38.5, 39, 40, 40.5, 42, 44.5",https://kicksmania.ru/wp-content/uploads/2022/10/thenextsole-jordan-1-retro-high-og-starfish-w-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-starfish/
Travis Scott x Air Jordan 1 Low Olive Kids,NO,37900,"21, 25, 27, 28.5, 31, 33, 33.5",https://kicksmania.ru/wp-content/uploads/2023/06/spider-kids-main-730x438.jpg,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-low-olive-kids/
Air Jordan 4 Retro Canyon Purple,NO,47900,"42, 42.5",https://kicksmania.ru/wp-content/uploads/2022/08/jordan-4-canyon-purple-768x461.jpg,https://kicksmania.ru/product/air-jordan-4-canyon-purple/
DJ Khaled x Air Jordan 5 Crimson Bliss,NO,42500 - 44900,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48.5, 49.5",https://kicksmania.ru/wp-content/uploads/2023/01/j5cbosn-730x438.jpg,https://kicksmania.ru/product/dj-khaled-x-air-jordan-5-crimson/
Adidas Originals Gazelle 85 Blue,NO,27900,40 2/3,https://kicksmania.ru/wp-content/uploads/2023/10/gazbluemain-730x438.png,https://kicksmania.ru/product/adidas-originals-gazelle-85-blue/
Adidas Originals Gazelle 85 Pink,NO,27900,38 2/3,https://kicksmania.ru/wp-content/uploads/2023/10/gazpinkmain-730x438.png,https://kicksmania.ru/product/adidas-originals-gazelle-85-pink/
Yeezy Boost 350 V2 Carbon Beluga,NO,44900,"37 1/3, 38, 38 2/3, 39 1/3, 40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3",https://kicksmania.ru/wp-content/uploads/2023/07/beluga-main-730x438.png,https://kicksmania.ru/product/adidas-yeezy-boost-350-v2-carbon-beluga/
Air Jordan 1 Retro High Spider-Verse Kids,NO,31900,"18.5, 21, 22, 23.5, 25, 27, 35",https://kicksmania.ru/wp-content/uploads/2023/06/kids-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-spider-verse-kids/
Air Jordan 1 Low Aluminium,NO,39300,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2022/11/aj1-low-aluminium-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-low-aluminium/
Dior x Jordan 1 High,NO,1190000 - 1449300,"41, 42",https://kicksmania.ru/wp-content/uploads/2021/04/dior-x-jordan-high-768x461.png,https://kicksmania.ru/product/dior-x-jordan-1-high/
Air Jordan 1 Retro High Taxi,NO,32900 - 47900,"36.5, 37.5, 38, 39, 41, 42.5, 43, 44, 44.5, 46, 47.5",https://kicksmania.ru/wp-content/uploads/2022/08/aj1-h-taxi-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-taxi/
Air Force 1 Low Blue Paisley,NO,25700 - 26900,"37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/12/nike-air-force-1-low-07-essential-white-worn-blue-paisley-730x438.jpg,https://kicksmania.ru/product/air-force-1-low-blue-paisley/
Air Force 1 ’07 Low White,NO,19900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2022/06/nike-air-force-1-low-white-768x461.jpg,https://kicksmania.ru/product/nike-air-force-1-low-white/
Supreme x Air Force 1 Low Brown,NO,38900,"41, 42, 43, 44, 45, 46",https://kicksmania.ru/wp-content/uploads/2023/11/supforcemain-730x438.png,https://kicksmania.ru/product/supreme-x-air-force-1-low-brown/
Supreme x Air Force 1 Low White,NO,38900,"42, 42.5, 43, 44",https://kicksmania.ru/wp-content/uploads/2023/11/supforcewmain-730x438.png,https://kicksmania.ru/product/supreme-x-air-force-1-low-white/
Air Jordan 1 Mid Elephant,NO,28400,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2022/11/air-jordan-1-mid-elephant--768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-elephant/
Air Jordan 1 Retro High Not For Resale Red,NO,117900 - 134700,"42.5, 43",https://kicksmania.ru/wp-content/uploads/2021/04/jordan-1-retro-high-not-for-resale-varsity-red-768x461.png,https://kicksmania.ru/product/air-jordan-1-not-for-resale-varsity-red/
Air Jordan 1 Retro High Panda,NO,105000,38,https://kicksmania.ru/wp-content/uploads/2021/04/aj1-high-panda-768x461.png,https://kicksmania.ru/product/air-jordan-1-retro-high-panda/
Air Jordan 1 Mid Ice Blue,NO,34300,"36, 36.5, 37.5, 38, 38.5, 39, 40",https://kicksmania.ru/wp-content/uploads/2022/10/modeli-iz-etoj-papki-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-mid-ice-blue/
Grateful Dead x Dunk SB Low Green,NO,209900 - 241500,"40, 45",https://kicksmania.ru/wp-content/uploads/2021/06/nike-sb-dunk-low-grateful-dead-bears-green-1-768x461.jpg,https://kicksmania.ru/product/nike-sb-dunk-low-grateful-dead-bears-green/
Air Jordan 1 Retro High Rebellionaire,NO,32900 - 42900,"36, 36.5, 39, 42, 42.5",https://kicksmania.ru/wp-content/uploads/2022/03/air-jordan-1-retro-high-rebellionaire-768x461.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-rebellionaire/
