name,SALE,price(Rub),available_sizes(EU),img,link
The North Face 1996 Retro Nuptse ECO White,NO,49900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/10/the-north-face-the-north-face★-ws-1996-eco-nuptse-jacket-768x461.jpg,https://kicksmania.ru/product/the-north-face-1996-retro-nuptse-eco-white/
Burberry x Supreme Box Logo Tee Black,NO,52900 - 56900,"S, M",https://kicksmania.ru/wp-content/uploads/2022/09/supreme-x-burberry-box-logo-tee-black-768x461.jpg,https://kicksmania.ru/product/burberry-x-supreme-box-logo-tee-black/
Travis Scott x Fragment x Jordan T-Shirt,NO,35500,"XS, S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2021/10/travis-fragment-t-shirt-768x461.jpg,https://kicksmania.ru/product/travis-scott-x-fragment-x-jordan-t-shirt/
NOCTA x Nike Pants Grey,NO,31000,XL,https://kicksmania.ru/wp-content/uploads/2023/03/nocta-pants-main-730x438.png,https://kicksmania.ru/product/nocta-x-nike-pants-grey/
Stussy x Nike Washed Sweat Pants Black,NO,28400,"M, L",https://kicksmania.ru/wp-content/uploads/2023/03/nike-stussy-pants-main-730x438.png,https://kicksmania.ru/product/stussy-x-nike-washed-sweat-pants-black/
Supreme Respected 94 Tee Black,NO,30900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/supreme-respected-94-tee-black-768x461.jpg,https://kicksmania.ru/product/supreme-respected-94-tee-black/
Supreme Respected 94 Tee White,NO,29900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/supreme-respected-94-tee-white-768x461.jpg,https://kicksmania.ru/product/supreme-respected-94-tee-white/
A Ma Maniere x Jordan Jacket Cream,NO,59300,M,https://kicksmania.ru/wp-content/uploads/2023/04/jacket-cream-main-730x438.png,https://kicksmania.ru/product/a-ma-maniere-x-jordan-track-jacket-cream/
The North Face 1996 Retro Nuptse Acid Yellow,NO,49900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/the-north-face-1996-retro-nuptse-jacket-acid-yellow-nf0a3c8d760-768x461.jpg,https://kicksmania.ru/product/the-north-face-1996-retro-nuptse-jacket-acid-yellow/
The North Face 1996 Retro Nuptse Arrowwood Yellow,NO,49900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/mens-1996-retro-nuptse-jacket-nf0a3c8dh9d-768x461.jpg,https://kicksmania.ru/product/the-north-face-m-1996-retro-nuptse-jacket-2/
The North Face 1996 Retro Nuptse Purple,NO,49900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/the-north-face-mens-1996-retro-nuptse-jacket-768x461.jpg,https://kicksmania.ru/product/the-north-face-mens-1996-retro-nuptse-jacket-purple/
Uniqlo x KAWS Tee White Clean State,NO,19425,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/08/uniqlo-x-kaws-tee-white-clean-state-768x461.jpg,https://kicksmania.ru/product/uniqlo-x-kaws-tee-white-clean-state/
Uniqlo x KAWS Tee White Flayed,NO,19425,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/08/uniqlo-x-kaws-tee-white-flayed-768x461.jpg,https://kicksmania.ru/product/uniqlo-x-kaws-tee-white-flayed/
